,TCP,RAIN,TCP-0.5,RAIN-0.5
10,4370,4166,7087,4598     	
50,5448,4190,7225,4264
100,6228,4233,9374,4377
200,5951,4171,9684,4925
500,6922,4155,11245,4399
1000,7470,4143,12345,4384
